Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
1200,0,1440,0.78,0.78,0.78,2,2300,0.4519,0,6,2,0.333,0,0,4,5100,371520,368640,0.0039,
1300,0,1440,0.71,0.71,0.71,1,1300,0.1148,9,8,6,0.125,1,1300,307,11000,113760,110880,0.0127,
1300,1,1440,0.16,0.16,0.16,1,1300,0.1597,-39,1,1,1,1,1300,-39,8300,2880,0,0.5,
1900,0,1440,0.78,0.23,0.56,6,4500,0.0835,-20,24,8,0.25,1,3000,-29,54200,374400,371520,0.0038,
1400,1,1440,0.18,0.17,0.17,2,4100,0.1165,-438,5,2,0.4,1,3700,5200,35600,7200,4320,0.2,
10300,1,1440,0.36,0.37,0.37,2,28600,0.368,-1000,2,1,1,1,27600,-1000,77800,N/A,0,0,
1200,0,1440,0.82,0.82,0.82,1,1200,0.171,30,6,6,0.167,1,1300,264,7200,192960,190080,0.0075,
17200,1,1440,0.57,0.57,0.57,1,17200,0.5672,-301,2,2,0.5,2,16900,-403,30300,660960,659520,0.0022,
18000,1,1440,0.57,0.57,0.57,1,18000,0.5657,-316,2,2,0.5,1,17700,-210,31800,N/A,0,0,
17600,1,1440,0.57,0.57,0.57,1,17600,0.553,-309,6,2,0.167,1,17300,347,31900,187200,185760,0.0077,
1300,0,1440,0.89,0.89,0.89,4,5000,0.2254,-1,25,6,0.16,0,0,4,22300,406080,403200,0.0035,
17400,0,1440,0.75,0.75,0.75,1,17400,0.3656,-116,17,11,0.059,1,17300,-283,47500,668160,666720,0.0022,
15400,0,1440,0.75,0.75,0.75,1,15400,0.1911,-103,24,11,0.042,1,15300,163,80700,669600,668160,0.0022,
15900,0,1440,0.75,0.75,0.75,1,15900,0.3092,-106,20,12,0.05,2,15900,-238,51600,668160,666720,0.0022,
3000,1,1440,0.66,0.6,0.63,10,4700,0.643,87,10,1,1,1,4800,87,7300,4320,1440,0.3333,
8000,1,1440,0.65,0.52,0.56,5,13000,0.6141,651,5,1,1,1,13700,651,21200,N/A,0,0,
16100,0,1440,0.8,0.8,0.8,1,16100,0.3003,201,15,9,0.067,1,16300,2000,53500,669600,668160,0.0022,
15300,0,1440,0.56,0.56,0.56,1,15300,0.5565,271,2,2,0.5,2,15600,156,27600,187200,185760,0.0077,
17100,0,1440,0.56,0.56,0.56,1,17100,0.5554,303,2,2,0.5,1,17400,390,30900,660960,658080,0.0022,
4000,0,1440,0.89,0.89,0.89,3,8000,0.1172,-2,17,5,0.176,0,0,-3,68600,383040,380160,0.0038,
15900,1,1440,0.59,0.59,0.59,1,15900,0.5856,1700,2,2,0.5,2,17600,1600,27100,660960,658080,0.0022,
16200,1,1440,0.59,0.59,0.59,1,16200,0.5857,1800,2,2,0.5,1,18000,1900,27700,660960,658080,0.0022,
15300,1,1440,0.59,0.59,0.59,1,15300,0.5862,1700,2,2,0.5,1,17000,1700,26100,N/A,0,0,
15800,1,1440,0.59,0.59,0.59,1,15800,0.5716,1700,5,2,0.2,2,17500,1400,27600,660960,658080,0.0022,
15900,1,1440,0.6,0.6,0.6,3,16000,0.3316,1500,18,10,0.167,1,17500,1300,48300,669600,666720,0.0022,
1700,0,1440,0.78,0.78,0.78,2,3300,0.2588,0,6,2,0.333,0,0,-0,12800,508320,505440,0.0028,
15500,1,1440,0.71,0.71,0.71,1,15500,0.3343,109,14,9,0.071,2,15600,-101,46300,669600,668160,0.0022,
15600,1,1440,0.71,0.71,0.71,1,15600,0.0458,110,25,12,0.04,1,15700,-5300,340600,669600,668160,0.0022,
1100,0,1440,0.89,0.89,0.89,3,2900,0.2685,0,11,4,0.273,0,0,-0,10900,N/A,0,0,
4000,1,1440,0.65,0.59,0.63,4,34000,0.362,1900,14,6,0.286,2,59200,4200,93900,182880,180000,0.0079,
10000,1,1440,0.64,0.59,0.63,4,34000,0.362,1900,14,6,0.286,2,59200,4200,93900,182880,180000,0.0079,
15200,1,1440,0.69,0.69,0.69,2,30600,0.696,241,3,2,0.667,0,0,295,44000,N/A,0,0,
2500,1,1440,0.9,0.93,0.92,6,20500,0.9216,-733,7,2,0.857,2,19800,-758,22300,18720,15840,0.0769,
16400,1,1440,0.69,0.69,0.69,2,33000,0.6957,260,3,2,0.667,1,0,139,47500,187200,184320,0.0077,
16000,1,1440,0.69,0.69,0.69,2,32300,0.6865,255,6,2,0.333,1,0,-102,47100,660960,658080,0.0022,
17500,1,1440,0.69,0.69,0.69,2,35300,0.6962,278,3,2,0.667,0,0,342,50700,187200,184320,0.0077,
17400,1,1440,0.69,0.69,0.69,3,35600,0.695,280,4,2,0.75,0,0,379,51200,N/A,0,0,
2000,1,1440,0.17,0.17,0.17,1,2000,0.17,-59,1,1,1,1,1900,-59,11800,23040,20160,0.0625,
4400,0,1440,0.77,0.77,0.77,4,8800,0.1741,-6,17,5,0.235,0,0,-2,50400,504000,501120,0.0029,
4100,0,1440,0.77,0.77,0.77,3,8200,0.12,-5,18,5,0.167,0,0,5,68000,N/A,0,0,
4000,1,1440,0.23,0.23,0.23,2,8100,0.0628,18,23,7,0.087,0,0,18,129300,508320,505440,0.0028,
3900,0,1440,0.77,0.77,0.77,2,7800,0.1136,-5,19,6,0.105,0,0,-5,68600,2880,1440,0.5,
4100,0,1440,0.77,0.77,0.77,3,8100,0.1095,-5,19,6,0.158,0,0,-5,74000,502560,499680,0.0029,
4200,0,1440,0.77,0.77,0.77,3,8500,0.0817,0,23,8,0.13,0,0,-5,104000,2880,0,0.5,
3800,0,1440,0.77,0.77,0.77,2,7600,0.1003,0,21,8,0.095,0,0,4,76000,505440,502560,0.0028,
1400,0,1440,0.77,0.77,0.77,3,2800,0.2046,-4,8,2,0.375,0,0,-16,13800,N/A,0,0,
17900,0,1440,0.65,0.65,0.65,2,36400,0.6579,552,3,2,0.667,0,0,631,55400,660960,658080,0.0022,
16600,0,1440,0.65,0.65,0.65,2,33700,0.6577,510,3,2,0.667,0,0,551,51200,188640,185760,0.0076,
17600,0,1440,0.65,0.65,0.65,2,35600,0.6482,540,7,2,0.286,0,0,1200,55000,660960,658080,0.0022,
17700,0,1440,0.65,0.65,0.65,2,36000,0.6577,546,3,2,0.667,1,0,413,54800,660960,658080,0.0022,
1400,0,1440,0.77,0.77,0.77,1,1400,0.0514,-7,25,8,0.04,1,1400,-6,27700,24480,21600,0.0588,
1500,0,1440,0.77,0.78,0.78,4,5900,0.1585,0,25,6,0.16,0,0,-5,37300,N/A,0,0,
4300,0,1440,0.89,0.89,0.89,3,8700,0.1254,0,20,6,0.15,0,0,-10,69300,502560,499680,0.0029,
4400,0,1440,0.89,0.89,0.89,2,8800,0.1217,0,20,8,0.1,0,0,-0,72000,2880,1440,0.5,
4600,0,1440,0.89,0.89,0.89,2,9100,0.1697,0,21,7,0.095,0,0,2,53700,504000,501120,0.0029,
3000,0,1440,0.89,0.89,0.89,2,6000,0.0786,0,21,8,0.095,0,0,4,76000,505440,502560,0.0028,
2000,1,1440,0.11,0.11,0.11,3,3900,0.0445,0,18,6,0.167,0,0,55,88400,501120,498240,0.0029,
17500,1,1440,0.55,0.55,0.55,2,35100,0.5453,32,3,2,0.667,1,0,-66,64300,187200,184320,0.0077,
1000,1,1440,0.11,0.11,0.11,4,2000,0.0229,9,13,5,0.308,0,0,9,88100,354240,351360,0.0041,
3900,0,1440,0.89,0.89,0.89,3,7800,0.0969,-4,20,7,0.15,0,0,-0,80600,N/A,0,0,
16200,1,1440,0.55,0.55,0.55,2,32400,0.5447,30,3,2,0.667,0,0,106,59400,660960,658080,0.0022,
