Name,Size,Bet,Market,Time,Price,Entry,Avg,"Market
Trades","Market
Volume","Volume
Conc.","Market
PnL","Total
Trades","Unique
Markets","Trade
Conc.","Open
Positions","O.P.
Value",Tot.PnL,Tot.Vol,"Wallet
Age","WC/TX
Delta","WC/TX
%","Active
Market","Active
Hold",Tx Hash,Polymarket,Profile,Market Link
Qwerty777,$7.7K,Yes,Will Jannik Sinner win the 2025 ATP Cincinnati?,194d,0.63,0.63,0.63,12,$20.0K,41.13%,$-20.0K,15,2,80.0%,2,$0,$-31.5K,$48.6K,206d,11d,94.17%,No,No,,,,https://polymarket.com/market/will-jannik-sinner-win-the-2025-atp-cincinnati
Qwerty777,$10.5K,Yes,Will Jannik Sinner win the 2025 ATP Cincinnati?,194d,0.63,0.63,0.63,12,$20.0K,41.13%,$-20.0K,15,2,80.0%,2,$0,$-31.5K,$48.6K,206d,11d,94.17%,No,No,,,,https://polymarket.com/market/will-jannik-sinner-win-the-2025-atp-cincinnati
0xe21AabB2eC73D...,$6.3K,Yes,Will Rodrigo Paz win the 2025 Bolivia presidential electi...,194d,0.72,0.71,0.71,3,$19.1K,70.14%,-$282,3,1,100.0%,1,$6.3K,-$282,$27.2K,195d,0d,99.49%,No,No,,,,https://polymarket.com/market/will-rodrigo-paz-win-the-2025-bolivia-presidential-election
0xe21AabB2eC73D...,$6.5K,Yes,Will Rodrigo Paz win the 2025 Bolivia presidential electi...,195d,0.71,0.71,0.71,3,$19.1K,70.14%,-$282,3,1,100.0%,1,$6.3K,-$282,$27.2K,195d,0d,100.00%,No,No,,,,https://polymarket.com/market/will-rodrigo-paz-win-the-2025-bolivia-presidential-election
0xe09cDD4C45643...,$22.7K,Yes,Will Rodrigo Paz win the 2025 Bolivia presidential electi...,195d,0.67,0.05,0.37,5,$56.4K,64.29%,$9.9K,5,1,100.0%,0,$0,$9.9K,$87.7K,195d,0d,100.00%,No,No,,,,https://polymarket.com/market/will-rodrigo-paz-win-the-2025-bolivia-presidential-election
gofman,$35.3K,No,Russia x Ukraine ceasefire in 2025?,195d,0.68,0.68,0.68,1,$35.3K,67.79%,$4.0K,1,1,100.0%,1,$39.3K,$4.0K,$52.1K,195d,0d,100.00%,No,No,,,,https://polymarket.com/market/russia-x-ukraine-ceasefire-in-2025
Bitcoin11,$16.1K,Yes,Will Jonas Gahr Støre become the next Prime Minister of N...,195d,0.64,0.64,0.64,1,$16.1K,12.41%,-$608,18,13,5.6%,2,$22.6K,$-11.2K,$129.9K,213d,18d,91.55%,No,No,,,,https://polymarket.com/market/will-jonas-gahr-stre-become-the-next-prime-minister-of-norway
mapboro,$6.0K,No,Will Andrónico Rodríguez qualify for Bolivia’s presidenti...,195d,0.89,0.89,0.89,2,$6.0K,89.00%,$743,2,1,100.0%,0,$0,$743,$6.8K,219d,24d,89.04%,No,No,,,,https://polymarket.com/market/will-andrnico-rodrguez-qualify-for-bolivias-presidential-runoff-539
nnn3,$9.6K,No,Will Andrónico Rodríguez qualify for Bolivia’s presidenti...,196d,0.90,0.90,0.90,1,$9.6K,26.16%,$1.1K,13,3,7.7%,1,$11.3K,$1.7K,$36.7K,196d,0d,100.00%,No,No,,,,https://polymarket.com/market/will-andrnico-rodrguez-qualify-for-bolivias-presidential-runoff-539
ksg33,$9.8K,Yes,Russia x Ukraine ceasefire in 2025?,197d,0.45,0.45,0.45,1,$9.8K,4.22%,$-4.4K,17,9,5.9%,7,$5.4K,$-23.5K,$231.4K,508d,311d,38.78%,No,No,,,,https://polymarket.com/market/russia-x-ukraine-ceasefire-in-2025
jacksonpark,$20.0K,No,Will Donald Trump win the Nobel Peace Prize in 2025?,197d,0.90,0.90,0.90,1,$20.0K,10.39%,-$26,3,2,33.3%,2,$20.0K,$-87.5K,$192.6K,525d,328d,37.52%,No,No,,,,https://polymarket.com/market/will-donald-trump-win-the-nobel-peace-prize-in-2025
Perdi1994,$9.5K,Yes,Will Jorge “Tuto” Quiroga win the most votes in the first...,197d,0.81,0.81,0.81,11,$13.9K,24.42%,$-5.1K,13,2,84.6%,0,$0,$-5.6K,$56.7K,197d,0d,100.00%,No,No,,,,https://polymarket.com/market/will-jorge-tuto-quiroga-win-the-most-votes-in-the-first-round-of-the-2025-bolivia-presidential-election
AlexTdr,$5.1K,Yes,Will Ousmane Dembele win the 2025 Ballon d'Or?,199d,0.84,0.71,0.79,10,$25.0K,65.98%,$533,16,3,62.5%,1,$25.5K,$839,$37.9K,404d,204d,49.26%,No,No,,,,https://polymarket.com/market/will-ousmane-dembele-win-the-2025-ballon-dor
0x9115f83ee271c...,$5.6K,No,No change in Fed interest rates after September 2025 meet...,200d,0.79,0.79,0.79,2,$5.6K,78.06%,$494,5,4,40.0%,4,$6.1K,$494,$7.2K,200d,0d,100.00%,No,No,,,,https://polymarket.com/market/no-change-in-fed-interest-rates-after-september-2025-meeting
0x44C1f33caFdf7...,$5.0K,Yes,US recession in 2025?,200d,0.14,0.13,0.13,12,$8.3K,12.55%,$-1.3K,20,7,60.0%,7,$3.4K,$-1.6K,$66.0K,200d,0d,100.00%,No,No,,,,https://polymarket.com/market/us-recession-in-2025
kjsdavv,$30.0K,No,Russia x Ukraine ceasefire by August 31?,201d,0.88,0.88,0.91,2,$74.8K,26.93%,$6.5K,11,5,18.2%,3,$131.6K,$10.0K,$277.7K,302d,100d,66.56%,No,No,,,,https://polymarket.com/market/russia-x-ukraine-ceasefire-by-august-31
