Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
1100,Israel,1080,0.69,0.69,0.69,2,2300,0.279,19,16,6,0.125,0,0,824,8100,,0,0,
2300,0,1080,0.78,0.78,0.78,2,4600,0.1339,29,20,7,0.1,0,0,30,34400,370080,370080,0,
1000,1,1080,0.46,0.46,0.46,1,1000,0.46,33,1,1,1,1,1000,33,2200,1080,0,0,
1000,1,1080,0.5,0.5,0.5,1,1000,0.0833,-50,2,2,0.5,2,950,-60,12000,,0,0,
5600,1,1080,0.88,0.61,0.75,4,13100,0.3531,84,13,4,0.308,0,0,3700,37100,1440,0,0,1
2500,1,1080,0.55,0.55,0.55,1,2500,0.236,-323,4,4,0.25,4,4700,-805,10600,741600,740160,0,
16900,1,1080,0.64,0.64,0.64,1,16900,0.6332,532,2,2,0.5,1,17500,588,26800,660960,659520,0,
10400,US,1080,0.57,0.57,0.57,1,10400,0.2614,-4700,16,2,0.063,1,5700,-2800,39700,1440,0,0,
4700,0,1080,0.82,0.82,0.81,16,19400,0.8097,25,18,2,0.889,2,19500,29,24000,1080,0,0,
1500,1,1080,0.13,0.13,0.13,1,1500,0.0062,20,13,6,0.077,5,5800,2400,241400,,0,0,
15200,1,1080,0.63,0.63,0.63,1,15200,0.623,729,2,2,0.5,1,16000,783,24500,187200,185760,0,
16500,0,1080,0.72,0.72,0.72,1,16500,0.3363,229,18,12,0.056,3,16700,21,49000,668160,668160,0,
1000,1,1080,0.5,0.5,0.5,1,1000,0.012,-56,15,10,0.067,9,2200,-3500,83600,,0,0,
1300,1,1080,0.34,0.34,0.34,1,1300,0.1843,-11,2,2,0.5,2,4500,1200,7000,51840,50400,0,
3400,0,1080,0.63,0.62,0.68,4,7600,0.1592,-3300,22,10,0.182,3,4400,-6100,48000,,0,0,
16600,1,1080,0.61,0.61,0.61,1,16600,0.6033,408,2,2,0.5,1,17000,522,27500,660960,659520,0,
15700,1,1080,0.61,0.61,0.61,1,15700,0.6051,386,2,2,0.5,2,16100,243,25900,187200,185760,0,
1700,1,1080,0.4,0.4,0.4,1,1700,0.2178,889,10,8,0.1,5,2600,1600,8000,64800,63360,0,
5000,1,1140,0.11,0.11,0.11,1,5000,0.0235,8600,6,3,0.167,3,86300,58300,212400,1440,0,0,
2500,1,1140,0.56,0.56,0.56,1,2500,0.1159,74,8,4,0.125,2,2600,3000,21600,,0,0,
5000,1,1140,0.83,0.72,0.87,5,72500,0.4949,1500,23,18,0.217,10,3200,4700,146600,66240,64800,0,1
1800,1,1140,0.14,0.17,0.16,3,9900,0.0406,1700,15,4,0.2,1,3800,-4600,244600,,0,0,
2000,1,1140,0.63,0.63,0.63,1,2000,0.0535,385,10,7,0.1,5,3900,-70,38100,675360,673920,0,1
5000,Down,1140,0.49,0.49,0.49,1,5000,0.1175,1300,10,5,0.1,1,6300,416,43000,14400,12960,0,
2500,1,1140,0.9,0.76,0.83,4,8200,0.4445,126,9,3,0.444,1,0,1700,18400,663840,662400,0,1
1200,1,1140,0.87,0.15,0.39,4,2900,0.0947,1100,22,9,0.182,8,1400,150,30300,67680,66240,0,1
1500,1,1140,0.76,0.76,0.83,4,8200,0.4445,126,9,3,0.444,1,0,1700,18400,663840,662400,0,1
2100,1,1140,0.74,0.65,0.68,3,2900,0.4887,1200,4,2,0.75,0,0,1100,5900,,0,0,1
1200,1,1140,0.56,0.56,0.56,1,1200,0.0303,280,10,7,0.1,5,4000,-60,38100,675360,673920,0,1
3100,1,1140,0.9,0.17,0.54,16,8600,0.1713,919,18,2,0.889,1,0,-131,50000,1440,0,0,1
2000,0,1140,0.13,0.3,0.21,4,7900,0.0891,-2200,15,4,0.267,0,0,1300,88400,1362240,1360800,0,1
1100,1,1140,0.88,0.88,0.88,2,2200,0.0084,50,15,6,0.133,4,468,343,265400,20160,18720,0,1
14800,1,1140,0.87,0.87,0.87,1,14800,0.101,2100,23,18,0.043,10,3200,4700,146600,66240,64800,0,1
2200,0,1140,0.12,0.84,0.48,2,3800,0.0928,-3000,22,10,0.091,5,901,-2200,41400,105120,105120,0,1
2700,1,1140,0.76,0.2,0.47,5,5200,0.0542,3000,23,11,0.217,8,8700,692,96400,12960,11520,0,1
1400,1,1140,0.7,0.32,0.61,5,7500,0.0813,-2900,20,10,0.25,6,1900,-4400,92200,,0,0,1
1900,1,1200,0.68,0.68,0.68,2,4600,0.0731,676,7,5,0.286,1,0,-270,62600,77760,76320,0,1
2000,1,1200,0.69,0.72,0.7,2,2200,0.6922,846,2,1,1,1,3000,846,3200,,0,0,1
2500,0,1200,0.3,0.3,0.21,4,7900,0.0891,-2200,15,4,0.267,0,0,1300,88400,,0,0,1
1300,1,1200,0.76,0.76,0.76,1,1300,0.6241,362,5,3,0.2,2,1700,350,2200,64800,63360,0,1
3000,1,1200,0.76,0.76,0.76,1,3000,0.7598,796,1,1,1,1,3800,796,4000,1200,0,0,1
